combo_id,Gory_Images,violence_content,violence_setting,violence_style,reactions_to_violence,violence_presentation,blood_gore_level,war_setting,injury_penalties,violent_overtones,violence_setting_context,pixelated_childlike_style,reactions_to_violence_type,violence_presentation_style,blood_gore_level_associated,creatures_human_behaviour,violence_against_real_animals,violent_overtones_present,disturbing_images_explicitness,blood_unrelated_description,summary,country,rating
901,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Referred to,High,Yes,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is referred to | High amount of blood and gore | Realistic or historical war setting | Fierce sounds or dark overtones,North America,Mature 17+
902,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Referred to,High,Yes,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is referred to | High amount of blood and gore | Realistic or historical war setting,North America,Mature 17+
903,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Referred to,High,Yes,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is referred to | High amount of blood and gore | Realistic or historical war setting | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Mature 17+
904,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Referred to,High,Yes,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is referred to | High amount of blood and gore | Realistic or historical war setting | Violence towards defenseless characters with penalties,North America,Mature 17+
905,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Referred to,High,Yes,"Yes, without penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is referred to | High amount of blood and gore | Realistic or historical war setting | Violence towards defenseless characters without penalties | Fierce sounds or dark overtones,North America,Mature 17+
906,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Referred to,High,Yes,"Yes, without penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is referred to | High amount of blood and gore | Realistic or historical war setting | Violence towards defenseless characters without penalties,North America,Mature 17+
907,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Referred to,High,No,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is referred to | High amount of blood and gore | Fierce sounds or dark overtones,North America,Mature 17+
908,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Referred to,High,No,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is referred to | High amount of blood and gore,North America,Mature 17+
909,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Referred to,High,No,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is referred to | High amount of blood and gore | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Mature 17+
910,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Referred to,High,No,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is referred to | High amount of blood and gore | Violence towards defenseless characters with penalties,North America,Mature 17+
911,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Referred to,High,No,"Yes, without penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is referred to | High amount of blood and gore | Violence towards defenseless characters without penalties | Fierce sounds or dark overtones,North America,Mature 17+
912,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Referred to,High,No,"Yes, without penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is referred to | High amount of blood and gore | Violence towards defenseless characters without penalties,North America,Mature 17+
913,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,None,Yes,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Realistic or historical war setting | Fierce sounds or dark overtones,North America,Everyone 10+
914,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,None,Yes,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Realistic or historical war setting,North America,Everyone 10+
915,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,None,Yes,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Realistic or historical war setting | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Everyone 10+
916,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,None,Yes,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Realistic or historical war setting | Violence towards defenseless characters with penalties,North America,Everyone 10+
917,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,None,Yes,"Yes, without penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Realistic or historical war setting | Violence towards defenseless characters without penalties | Fierce sounds or dark overtones,North America,Everyone 10+
918,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,None,Yes,"Yes, without penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Realistic or historical war setting | Violence towards defenseless characters without penalties,North America,Everyone 10+
919,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,None,No,No,Yes,,,,,,,,,,,App has ratings-relevant content as part of the downloaded app package | App contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted realistically | Violence is often depicted from a distance | High amount of blood and gore | Fierce sounds or dark overtones,North America,Mature 17+
920,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,None,No,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied,North America,Everyone 10+
921,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,None,No,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Everyone 10+
922,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,None,No,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Violence towards defenseless characters with penalties,North America,Everyone 10+
923,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,None,No,"Yes, without penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Violence towards defenseless characters without penalties | Fierce sounds or dark overtones,North America,Everyone 10+
924,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,None,No,"Yes, without penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Violence towards defenseless characters without penalties,North America,Everyone 10+
925,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Mild/Limited,Yes,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Mild/Limited blood and gore | Realistic or historical war setting | Fierce sounds or dark overtones,North America,Teen
926,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Mild/Limited,Yes,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Mild/Limited blood and gore | Realistic or historical war setting,North America,Teen
927,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Mild/Limited,Yes,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Mild/Limited blood and gore | Realistic or historical war setting | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Teen
928,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Mild/Limited,Yes,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Mild/Limited blood and gore | Realistic or historical war setting | Violence towards defenseless characters with penalties,North America,Teen
929,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Mild/Limited,Yes,"Yes, without penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Mild/Limited blood and gore | Realistic or historical war setting | Violence towards defenseless characters without penalties | Fierce sounds or dark overtones,North America,Teen
930,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Mild/Limited,Yes,"Yes, without penalties",No,,,,,,,,,,,App has ratings-relevant content as part of the downloaded app package | App contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted realistically | Violence is rarely depicted close-up | Realistic or historical war setting | Violence towards defenseless characters with penalties,North America,Teen
931,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Mild/Limited,No,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Mild/Limited blood and gore | Fierce sounds or dark overtones,North America,Teen
932,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Mild/Limited,No,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Mild/Limited blood and gore,North America,Teen
933,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Mild/Limited,No,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Mild/Limited blood and gore | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Teen
934,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Mild/Limited,No,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Mild/Limited blood and gore | Violence towards defenseless characters with penalties,North America,Teen
935,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Mild/Limited,No,"Yes, without penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Mild/Limited blood and gore | Violence towards defenseless characters without penalties | Fierce sounds or dark overtones,North America,Teen
936,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Mild/Limited,No,"Yes, without penalties",No,,,,,,,,,,,App has ratings-relevant content as part of the downloaded app package | App contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted realistically | Violence is rarely depicted close-up | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Teen
937,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Moderate,Yes,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Moderate blood and gore | Realistic or historical war setting | Fierce sounds or dark overtones,North America,Teen
938,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Moderate,Yes,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Moderate blood and gore | Realistic or historical war setting,North America,Teen
939,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Moderate,Yes,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Moderate blood and gore | Realistic or historical war setting | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Teen
940,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Moderate,Yes,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Moderate blood and gore | Realistic or historical war setting | Violence towards defenseless characters with penalties,North America,Teen
941,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Moderate,Yes,"Yes, without penalties",Yes,,,,,,,,,,,App has ratings-relevant content as part of the downloaded app package | App contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted realistically | Violence is rarely depicted close-up | Mild/Limited blood and gore | Realistic or historical war setting | Fierce sounds or dark overtones,North America,Teen
942,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Moderate,Yes,"Yes, without penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Moderate blood and gore | Realistic or historical war setting | Violence towards defenseless characters without penalties,North America,Teen
943,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Moderate,No,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Moderate blood and gore | Fierce sounds or dark overtones,North America,Teen
944,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Moderate,No,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Moderate blood and gore,North America,Teen
945,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Moderate,No,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Moderate blood and gore | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Teen
946,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Moderate,No,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Moderate blood and gore | Violence towards defenseless characters with penalties,North America,Teen
947,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Moderate,No,"Yes, without penalties",Yes,,,,,,,,,,,App has ratings-relevant content as part of the downloaded app package | App contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted realistically | Violence is rarely depicted close-up | Mild/Limited blood and gore | Realistic or historical war setting | Violence towards defenseless characters without penalties,North America,Mature 17+
948,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,Moderate,No,"Yes, without penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | Moderate blood and gore | Violence towards defenseless characters without penalties,North America,Teen
949,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,High,Yes,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | High amount of blood and gore | Realistic or historical war setting | Fierce sounds or dark overtones,North America,Mature 17+
950,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,High,Yes,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | High amount of blood and gore | Realistic or historical war setting,North America,Mature 17+
951,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,High,Yes,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | High amount of blood and gore | Realistic or historical war setting | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Mature 17+
952,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,High,Yes,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | High amount of blood and gore | Realistic or historical war setting | Violence towards defenseless characters with penalties,North America,Mature 17+
953,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,High,Yes,"Yes, without penalties",Yes,,,,,,,,,,,App has ratings-relevant content as part of the downloaded app package | App contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted realistically | Violence is rarely depicted close-up | Mild/Limited blood and gore | Violence towards defenseless characters without penalties | Fierce sounds or dark overtones,North America,Mature 17+
954,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,High,Yes,"Yes, without penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | High amount of blood and gore | Realistic or historical war setting | Violence towards defenseless characters without penalties,North America,Mature 17+
955,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,High,No,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | High amount of blood and gore | Fierce sounds or dark overtones,North America,Mature 17+
956,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,High,No,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | High amount of blood and gore,North America,Mature 17+
957,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,High,No,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | High amount of blood and gore | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Mature 17+
958,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,High,No,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | High amount of blood and gore | Violence towards defenseless characters with penalties,North America,Mature 17+
959,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,High,No,"Yes, without penalties",Yes,,,,,,,,,,,App has ratings-relevant content as part of the downloaded app package | App contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted realistically | Violence is rarely depicted close-up | Moderate blood and gore | Realistic or historical war setting | Violence towards defenseless characters with penalties,North America,Mature 17+
960,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Implied but not seen,High,No,"Yes, without penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is implied | High amount of blood and gore | Violence towards defenseless characters without penalties,North America,Mature 17+
961,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Rarely depicted from a distant perspective,None,Yes,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is rarely depicted from a distance | Realistic or historical war setting | Fierce sounds or dark overtones,North America,Everyone 10+
962,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Rarely depicted from a distant perspective,None,Yes,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is rarely depicted from a distance | Realistic or historical war setting,North America,Everyone 10+
963,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Rarely depicted from a distant perspective,None,Yes,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is rarely depicted from a distance | Realistic or historical war setting | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Everyone 10+
964,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Rarely depicted from a distant perspective,None,Yes,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is rarely depicted from a distance | Realistic or historical war setting | Violence towards defenseless characters with penalties,North America,Everyone 10+
965,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Rarely depicted from a distant perspective,None,Yes,"Yes, without penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is rarely depicted from a distance | Realistic or historical war setting | Violence towards defenseless characters without penalties | Fierce sounds or dark overtones,North America,Everyone 10+
966,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Rarely depicted from a distant perspective,None,Yes,"Yes, without penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is rarely depicted from a distance | Realistic or historical war setting | Violence towards defenseless characters without penalties,North America,Everyone 10+
967,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Rarely depicted from a distant perspective,None,No,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is rarely depicted from a distance | Fierce sounds or dark overtones,North America,Everyone 10+
968,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Rarely depicted from a distant perspective,None,No,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is rarely depicted from a distance,North America,Everyone 10+
969,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Rarely depicted from a distant perspective,None,No,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is rarely depicted from a distance | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Everyone 10+
970,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Rarely depicted from a distant perspective,None,No,"Yes, with penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is rarely depicted from a distance | Violence towards defenseless characters with penalties,North America,Everyone 10+
971,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Rarely depicted from a distant perspective,None,No,"Yes, without penalties",Yes,,,,,,,,,,,App has ratings-relevant content as part of the downloaded app package | App contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted realistically | Violence is rarely depicted close-up | High amount of blood and gore | Realistic or historical war setting,North America,Mature 17+
972,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Rarely depicted from a distant perspective,None,No,"Yes, without penalties",No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is rarely depicted from a distance | Violence towards defenseless characters without penalties,North America,Everyone 10+
973,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Rarely depicted from a distant perspective,Mild/Limited,Yes,No,Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is rarely depicted from a distance | Mild/Limited blood and gore | Realistic or historical war setting | Fierce sounds or dark overtones,North America,Teen
974,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Rarely depicted from a distant perspective,Mild/Limited,Yes,No,No,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is rarely depicted from a distance | Mild/Limited blood and gore | Realistic or historical war setting,North America,Teen
975,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Rarely depicted from a distant perspective,Mild/Limited,Yes,"Yes, with penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is rarely depicted from a distance | Mild/Limited blood and gore | Realistic or historical war setting | Violence towards defenseless characters with penalties | Fierce sounds or dark overtones,North America,Teen
976,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Rarely depicted from a distant perspective,Mild/Limited,Yes,"Yes, with penalties",No,,,,,,,,,,,App has ratings-relevant content as part of the downloaded app package | App contains violence against humans | This content occurs in a fantastical setting | Style is childlike | Reactions to violence are depicted realistically | Violence is rarely depicted close-up | High amount of blood and gore | Realistic or historical war setting | Violence towards defenseless characters without penalties,North America,Mature 17+
977,Yes,Violence or implied violence against humans,Fantastical,"Yes, it has a pixelated style",Realistic,Rarely depicted from a distant perspective,Mild/Limited,Yes,"Yes, without penalties",Yes,,,,,,,,,,,Game contains violence against humans | This content occurs in a fantastical setting | Style is pixelated | Reactions to violence are depicted realistically | Violence is rarely depicted from a distance | Mild/Limited blood and gore | Realistic or historical war setting | Violence towards defenseless characters without penalties | Fierce sounds or dark overtones,North America,Teen
